PREM_COUNTY_NAME,LICENSENO,APP_OR_LIC,LICENSE_TYPE_CODE,PRIMARY_LICENSEE,PRIMARY_DBA,PREM_ADDRESSLINE1,PREM_ADDRESSLINE2,PREM_CITY,PREM_ZIP
ALAMEDA,423918,LIC,48,"BOLTON, WILLIAM EARL",LEMON TREE THE,2542 SANTA CLARA AVE,,ALAMEDA,94501
ALAMEDA,425501,LIC,48,"CHO, WOON JOO",WALLYS CORNER,1600 WEBSTER ST,,ALAMEDA,94501
ALAMEDA,376280,LIC,48,EMMA MARCELLA INC,LOST WEEKEND LOUNGE,2320-1/2 SANTA CLARA AVE,,ALAMEDA,94501
ALAMEDA,372900,LIC,48,ENTERTAINMENT MARKETING & MANAGEMENT GROUP INC THE,ISLAND PARADISE CLUB,1436 WEBSTER ST,,ALAMEDA,94501
ALAMEDA,399339,LIC,48,FERGRAS INC,SHAMROCK PUB,1403 WEBSTER ST,,ALAMEDA,94501
ALAMEDA,487019,LIC,48,"GUAJARDO, MARK",CLUB HOUSE,1215 PARK ST,,ALAMEDA,94501-5211
ALAMEDA,508428,LIC,48,"HARRIS, GRAY MOORE",SWELL BAR,1539 LINCOLN AVE,,ALAMEDA,94501-2408
ALAMEDA,435341,LIC,48,ISLAND PARTNERS,FORBIDDEN ISLAND,1304 LINCOLN AVE,,ALAMEDA,94501
ALAMEDA,130287,LIC,48,J P THORNTON INC,,1813 PARK ST,,ALAMEDA,94501
ALAMEDA,471632,LIC,48,JOJO HOLDINGS INC,CHURCHWARD PUB THE,1515 PARK ST,,ALAMEDA,94501-2933
ALAMEDA,450470,LIC,48,"NICHOLS, DANIEL PATRICK",LUCKY 13,1301 PARK ST,,ALAMEDA,94501-4507
ALAMEDA,511045,LIC,48,THREE SIRENS LLC,FIRESIDE LOUNGE THE,1453 WEBSTER ST,# A,ALAMEDA,94501-3342
ALAMEDA,389345,LIC,48,ZIGENIS BROTHERS INC,ZS,1403 ENCINAL AVE,,ALAMEDA,94501
ALAMEDA,432429,LIC,48,FLYING DUCK INC,CLUB MALLARD,752 SAN PABLO AVE,,ALBANY,94706
ALAMEDA,471153,LIC,48,FUFKIN SOMETHING LLC,HOTSY TOTSY,601 SAN PABLO AVE,,ALBANY,94706-1128
ALAMEDA,522988,LIC,48,TORLIN LLC,IVY ROOM,858-860 SAN PABLO AVE,,ALBANY,94706-1603
ALAMEDA,537237,APP,48,BRICK HAT LLC,TUPPER & REED,2271 SHATTUCK AVE,,BERKELEY,94704-1432
ALAMEDA,360518,LIC,48,CLOVERBARN INC,ALBATROSS PUB,1822 SAN PABLO AVE,,BERKELEY,94702
ALAMEDA,376003,LIC,48,"CUKIERMAN, DANIEL JACOB",SHATTUCK LOUNGE THE,2284 SHATTUCK AVE,,BERKELEY,94704
ALAMEDA,428426,LIC,48,"ESLAMI, AHMAD ALI",MISSOURI LOUNGE & CAFE,2600 SAN PABLO AVE,,BERKELEY,94702
ALAMEDA,432436,LIC,48,FLYING DUCK INC,THALASSA,2349 & 2367 SHATTUCK AVE,,BERKELEY,94704
ALAMEDA,478902,LIC,48,"SEIDMAN, JENNIFER LEE",ACME BAR,2115 SAN PABLO AVE,,BERKELEY,94702-1827
ALAMEDA,507912,LIC,48,TAPTIM LLC,NICKS LOUNGE,3218 ADELINE ST,,BERKELEY,94703-2407
ALAMEDA,134112,LIC,48,"CAREY, KAREN A",KRAYONS GALLERY,3477 CASTRO VALLEY BLVD,,CASTRO VALLEY,94546
ALAMEDA,533362,LIC,48,DOUBLE CUT INC.,DOOLITTLE THE,20394 LAKE CHABOT RD,,CASTRO VALLEY,94546-5310
ALAMEDA,378784,LIC,48,"DOUCET, PERRY JOSEPH",DOUCET SALOON,20710 RUTLEDGE RD,,CASTRO VALLEY,94546
ALAMEDA,258963,LIC,48,"LOPES, JUAN A",VALLEY INN THE,2660-68 CASTRO VALLEY BLVD,,CASTRO VALLEY,94546
ALAMEDA,527936,LIC,48,SHOOTERS LOUNGE AND BAR SAN LEANDRO LLC,SPANKYS,20812 BAKER RD,,CASTRO VALLEY,94546-5729
ALAMEDA,428665,LIC,48,"EHLERS, EVELYN DARLENE",EVIES,7138 VILLAGE PKWY,,DUBLIN,94568
ALAMEDA,453570,LIC,48,GALLAGHERS DUBLIN PUB INC,GALLAGHERS DUBLIN PUB,7821 AMADOR VALLEY BLVD,,DUBLIN,94568-2305
ALAMEDA,512287,LIC,48,NUMERO 9 LLC,,6702 HOLLIS ST,,EMERYVILLE,94608-1078
ALAMEDA,469474,APP,48,RRY LLC,COACHES,40968 FREMONT BLVD,,FREMONT,94538-4375
ALAMEDA,231142,LIC,48,"CAMPBELL, JENELLE M",HUDDLE THE,5152 MOWRY AVE,,FREMONT,94538
ALAMEDA,485197,LIC,48,"GANIM, KHALIL NABEEL",SHOESTRING SALOON,42310-12 FREMONT BLVD,,FREMONT,94538-4146
ALAMEDA,324074,LIC,48,"KUKULICA, RICK W",FLORENCE THE,37349 NILES BLVD,,FREMONT,94536
ALAMEDA,401686,LIC,48,MOJO LOUNGE INC,MOJO LOUNGE THE,3714 PERALTA BLVD,,FREMONT,94536
ALAMEDA,469474,LIC,48,RRY LLC,COACHES,40968 FREMONT BLVD,,FREMONT,94538-4375
ALAMEDA,396699,LIC,48,SADDLE RACK INC,SADDLE RACK,42011 BOSCELL RD,,FREMONT,94538
ALAMEDA,538018,LIC,48,"WARD, ROBERT PHILLIP",BACK DOOR LOUNGE,37422 FREMONT BLVD,STE B,FREMONT,94536-3790
ALAMEDA,444612,LIC,48,BABY DOT INC,FUNKY MONKEY THE,22554 MAIN ST,,HAYWARD,94541-4102
ALAMEDA,380975,LIC,48,"BURRIS, DANIEL E",TURF CLUB,22519 MAIN ST,,HAYWARD,94541
ALAMEDA,505996,LIC,48,"CARVALHO, PAUL JORGE",BIG JORGES HOLLOW LEG,24740 HESPERIAN BLVD,,HAYWARD,94545
ALAMEDA,475333,LIC,48,"CHANG, HUI MAN",CURLYS PLACE,2059 B ST,,HAYWARD,94541-3203
ALAMEDA,332241,LIC,48,CHICO RUIZ INC,EL POTRO CLUB,871 W A ST,,HAYWARD,94541
ALAMEDA,475425,LIC,48,DIRTY BIRD LOUNGE LLC THE,DIRTY BIRD LOUNGE THE,29308 MISSION BLVD,,HAYWARD,94544-6117
ALAMEDA,345846,LIC,48,"FERNANDES, M LOUISE",FERNANDES STEIN LOUNGE,939 B ST,,HAYWARD,94541
ALAMEDA,225601,LIC,48,"HO, SUN CHA",SHAR ADE COCKTAILS,25144 MISSION BLVD,,HAYWARD,94544
ALAMEDA,429455,LIC,48,"HUEN, MANDY MUNFAN",BOTTOMS UP CLUB,27935 MANON AVE,,HAYWARD,94544
ALAMEDA,405562,LIC,48,"HUTCHINS, MCARTHUR",MACS SPORTS BAR,21722 MEEKLAND AVE,,HAYWARD,94541
ALAMEDA,412025,LIC,48,"JAMES, JUDY LAYSON",BLUE BIRD II COCKTAILS,390 WINTON AVE,,HAYWARD,94544
ALAMEDA,464674,LIC,48,"KIM, YON CHA",RAINBOW ROOM,21859 MISSION BLVD,,HAYWARD,94541-2640
ALAMEDA,388410,LIC,48,"MAYSNICKERSON, SHIRLENE",SHIRLENES IRON HORSE,18974 MEEKLAND AVE,,HAYWARD,94541
ALAMEDA,528297,LIC,48,"SANCHEZ, ABELINA",EL TENAMPA,171 W TENNYSON RD,,HAYWARD,94544-5323
ALAMEDA,506022,LIC,48,"SOMMER, JENNIFER LYNN",DARK HORSE LOUNGE,24018 HESPERIAN BLVD,,HAYWARD,94545-1523
ALAMEDA,436615,LIC,48,"VALENCIA, MARIA ELENA",LA TABERNA NIGHTCLUB,24061 MISSION BLVD,,HAYWARD,94544
ALAMEDA,466694,LIC,48,"VASQUEZ, JUAN",WHY NOT,469 W A ST,,HAYWARD,94541-4840
ALAMEDA,329427,LIC,48,"ANDERSON, ALMA L",OAK DOOR INC.,3062 PACIFIC AVE,,LIVERMORE,94550
ALAMEDA,411175,LIC,48,"BEAM, CHRISTOPHER PROSS",HENRY BEAMS BLUE BAR,2293 1ST ST,,LIVERMORE,94550
ALAMEDA,517746,LIC,48,"BROWN, VALERIE JANET",R-PLACE,2562 OLD 1ST ST,,LIVERMORE,94550-2055
ALAMEDA,411674,LIC,48,"GILLETTE, JAMES JOHN",V & E CLUB,2071 1ST ST,,LIVERMORE,94550
ALAMEDA,246901,LIC,48,"MCCLOSKEY, JOHN A",POLOMONIS,1845 1ST ST,,LIVERMORE,94550
ALAMEDA,483162,LIC,48,PACIFIC COAST ENTERTAINMENT GROUP LLC,SANCTUARY ULTRA LOUNGE,2369 1ST ST,,LIVERMORE,94550-3144
ALAMEDA,457814,LIC,48,"PARRISH, JUSTIN DAVID",GOOD TIME TAVERN THE,125 N LIVERMORE AVE,,LIVERMORE,94550
ALAMEDA,536990,LIC,48,"RAFFO, STEVEN  GEORGE",RAILROAD SALOON,2128 RAILROAD AVE,,LIVERMORE,94550-3122
ALAMEDA,464503,LIC,48,SIDJON CORPORATION,LIVERMORE CASINO,3571 1ST ST,,LIVERMORE,94551-4901
ALAMEDA,511049,LIC,48,"SINGH, HARPREET",LIVERMORE SALOON ,2223 1ST ST,,LIVERMORE,94550-4545
ALAMEDA,262885,LIC,48,WEST COAST CAFES INC,PINE STREET BAR & GRILL,875 RINCON AVE,,LIVERMORE,94551
ALAMEDA,213611,LIC,48,"GUBERA, ELAINE MARIE",GUBERAS PUB,5800 JARVIS AVE,,NEWARK,94560
ALAMEDA,534962,LIC,48,"O SULLIVAN, FLORENCE MARTIN",O'SULLIVAN'S SPORTS BAR,5660 THORNTON AVE,,NEWARK,94560-3825
ALAMEDA,63198,LIC,48,"VORTE, JACQUES",JACQUES,6991 THORNTON AVE,,NEWARK,94560
ALAMEDA,536472,APP,48,ADMD LLC,,382 19TH ST,,OAKLAND,94612-3425
ALAMEDA,539771,APP,48,"BIDDLE, DAVID HAROLD",GEORGE KAYES,4044 BROADWAY,,OAKLAND,94611-5618
