BUSINESS NAME,ADDRESS,CITY,ZIP,PHONE,TYPE
Adult Book Nook ,7171 Rich Ave,Newark,94560,(510) 796-5525,dvd rental · video tapes
The Bottle Shop ,40919 Fremont Blvd suite 4 _,Fremont,94538,(510) 440-0500 _,
Craze 4 Toys ,no address available,Union City,NA,(855) 600-2919 _,
L'Amour Shoppe ,40555 Grimmer Blvd,Fremont,94538,(510) 659-8161 _,
L'Amour Shoppe ,22553 Main St,Hayward,94541,(510) 886-7777 _,
Sexy Evenings Delight Lingerie Store,703 San Leandro Boulevard,San Leandro,94577,(510) 969-7286,
Puff n Stuff Head Shop ,4051 Foothill Blvd,Oakland,94601,(510) 533-3161 ,adult toys · rolling papers
Passion Parties by Jackie JacksonDaley,2800 Encinal Avenue,Alameda,94501,(510) 508-3617,adult party planning
Secrets Adult Superstore ,201 Broadway,Oakland,94607,(510) 465-0374,porn
Feelmore510 ,1703 Telegraph Ave,Oakland,94612,(510) 891-0199,adult gallery · adult store · erotic artwork · film night 
Good Vibrations Oakland ,3219 Lakeshore Ave,Oakland,94610,(510) 788-2389,
Good Vibrations Berkeley ,2504 San Pablo Ave,Berkeley,94702,(510) 841-8987,adult toys · sexual pleasure 
Tease Me Boutique ,3217 Adeline St.,Berkeley,94703,(510) 338-3708,
Secrets North Hollywood ,5686 Telegraph Ave,Oakland,94609,(510) 654-1169 ,
Not Too Naughty,2408 Telegraph Ave.,Oakland,94612,510-835-4729,
Not Too Naughty,15670 E. 14th St.,San Leandro,,510-278-4944
