STOP NAME,LOCATION,ADDRESS,CITY,ZIP,NOTES,PHONE
 SF Oakland Auto Truck Plaza,I-880 Ex 37 (E to San Leandro S), 8255 San Leandro St,Oakland,,50 spaces,(510) 569-1624
Weigh Station,I-880S,,"Fremont, CA",,,
Weigh Station,I-880N MM 14,,"Fremont, CA",,,
Bayside Properties,I-880 Ex 15 (Automall Pkwy),,"Fremont, CA",,,
G/G Petroleum,I-880/I-880 Ex 24n/25s (E Indust/Russ Rd),,"Hayward, CA",,,
Weigh Station,I-580W MM 57,,"Livermore, CA",,,
Weigh Station,I-580E Ex 56,,"Livermore, CA",,,
G G Petroleum/FJ Cardlock #939,5th St & Adeline St,,"Oakland, CA",,,
Golden Gate Petroleum,I-880 Ex 39a,,"Oakland, CA",,,
Pacific Pride,I-880 & Adeline,,"Oakland, CA",,,
Western States Oil,I-880 Ex 33 (Marina E),,"San Leandro, CA",,,
,,,,* can not find mailing info,,
